datetime,Unnamed: 0,Power demand,temp,dwpt,rhum,wdir,wspd,pres,year,month,day,hour,minute,moving_avg_3
1/1/2021 0:00,2.5,1975.541667,8,6.9,93,0,0,1017,2021,1,1,0,42.5,1976.7775
1/1/2021 1:00,11.5,1805.59,8,6.9,93,0,0,1017,2021,1,1,1,27.5,1822.649167
1/1/2021 2:00,23.5,1665.914167,7.5,6.25,92,0,0,1018.05,2021,1,1,2,27.5,1675.064722
1/1/2021 3:00,35.5,1607.331667,7,6.3,95.5,0,0,1018.05,2021,1,1,3,27.5,1608.205278
1/1/2021 4:00,47.5,1676.528333,6.5,6.5,100,0,0,1017,2021,1,1,4,27.5,1664.828333
1/1/2021 5:00,59.5,1988.8575,5.3,4.65,95.5,0,0,1018.2,2021,1,1,5,27.5,1950.260278
1/1/2021 6:00,71.5,2652.0825,4.8,3.65,92,0,0,1018.7,2021,1,1,6,27.5,2587.265
1/1/2021 7:00,83.5,3527.1,5,4,93,0,0,1018.5,2021,1,1,7,27.5,3454.462778
1/1/2021 8:00,95.5,4211.79,5.1,4.15,93.5,0,0,1020.3,2021,1,1,8,27.5,4172.204444
1/1/2021 9:00,107.5,4628.8475,6.1,4.65,90.5,0,0,1020.8,2021,1,1,9,27.5,4586.634167
1/1/2021 10:00,119.5,4908.6925,9,6.5,84.5,55,4.7,1020,2021,1,1,10,27.5,4900.076389
1/1/2021 11:00,131.5,4917.805833,12.1,8.05,76.5,125,8.5,1020.35,2021,1,1,11,27.5,4921.211389
1/1/2021 12:00,143.5,4705.678333,14.1,7.6,65,125,7.6,1019.35,2021,1,1,12,27.5,4738.943056
1/1/2021 13:00,155.5,4153.37,16,6.05,52,90,7.6,1018,2021,1,1,13,27.5,4195.7225
1/1/2021 14:00,167.5,3808.1875,17,5.75,47.5,70,7.6,1017.75,2021,1,1,14,27.5,3837.039722
1/1/2021 15:00,179.5,3529.000833,17.5,5.7,46,80,9.4,1016.75,2021,1,1,15,27.5,3545.351111
1/1/2021 16:00,191.5,3411.223333,17.5,4.95,43.5,95,11.2,1016,2021,1,1,16,27.5,3415.72
1/1/2021 17:00,203.5,3521.1125,15.8,5.95,52.5,95,9.4,1016.45,2021,1,1,17,27.5,3500.976389
1/1/2021 18:00,215.5,3650.6175,13.3,5.9,61,45,3.8,1016.95,2021,1,1,18,27.5,3653.318889
1/1/2021 19:00,227.5,3520.146667,11.5,5.4,66.5,0,0,1017,2021,1,1,19,27.5,3532.994444
1/1/2021 20:00,239.5,3327.0625,11.1,6.4,73,45,2.7,1017.45,2021,1,1,20,27.5,3343.110833
1/1/2021 21:00,251.5,3147.313333,11.1,7.45,78.5,95,6.5,1017.45,2021,1,1,21,27.5,3165.236667
1/1/2021 22:00,263.5,2813.833333,11,8.55,85,90,6.5,1017,2021,1,1,22,27.5,2848.002222
1/1/2021 23:00,275.5,2346.1575,10.2,8.2,87.5,85,5.4,1017.4,2021,1,1,23,27.5,2387.588056
1/2/2021 0:00,287.5,1835.965,9.7,7.6,87,85,6.5,1016.9,2021,1,2,0,27.5,1870.621667
1/2/2021 1:00,299.5,1631.448333,9.5,8,90.5,40,3.8,1016.5,2021,1,2,1,27.5,1643.533611
1/2/2021 2:00,311.5,1542.0225,9.3,7.55,89,0,0,1017.55,2021,1,2,2,27.5,1547.353056
1/2/2021 3:00,323.5,1512.416667,9.8,8.05,89,0,0,1017.05,2021,1,2,3,27.5,1512.7275
1/2/2021 4:00,335.5,1597.96,10,9.1,94,0,0,1016,2021,1,2,4,27.5,1585.011667
1/2/2021 5:00,347.5,1911.851667,9.9,8.65,92,25,3.8,1016.8,2021,1,2,5,27.5,1873.059444
1/2/2021 6:00,359.5,2613.330833,10.4,9.15,92,65,6.5,1017.3,2021,1,2,6,27.5,2546.195556
1/2/2021 7:00,371.5,3489.685833,11,10.1,94,80,8.3,1017,2021,1,2,7,27.5,3413.498611
1/2/2021 8:00,383.5,4051.794167,11.3,10.05,92,110,9.4,1018.1,2021,1,2,8,27.5,4030.867222
1/2/2021 9:00,395.5,4282.648333,11.8,10.05,89,70,3.8,1018.6,2021,1,2,9,27.5,4258.675833
1/2/2021 10:00,407.5,4323.821667,13,10.05,82.5,45,6.5,1018.5,2021,1,2,10,27.5,4334.606667
1/2/2021 11:00,419.5,4140.335,13.7,10.2,79.5,70,9.2,1019.75,2021,1,2,11,27.5,4159.358056
1/2/2021 12:00,431.5,3860.398333,14.2,10.2,77,75,8.3,1018.75,2021,1,2,12,27.5,3885.304167
1/2/2021 13:00,443.5,3387.6975,16,9.45,65.5,90,13,1016,2021,1,2,13,27.5,3422.7925
1/2/2021 14:00,455.5,3257.325833,17.8,9.4,58,85,15.7,1015.3,2021,1,2,14,27.5,3266.953333
1/2/2021 15:00,467.5,3113.794167,18.8,9.4,54.5,95,16.6,1014.8,2021,1,2,15,27.5,3124.475
1/2/2021 16:00,479.5,3077.069167,18.5,9,54,100,15.7,1014,2021,1,2,16,27.5,3076.808889
1/2/2021 17:00,491.5,3221.156667,17.5,8.35,55,95,14.8,1014.5,2021,1,2,17,27.5,3199.935
1/2/2021 18:00,503.5,3472.020833,17,8.25,56.5,105,12.1,1014.5,2021,1,2,18,27.5,3459.892222
1/2/2021 19:00,515.5,3404.880833,16.5,8.45,59,110,9.4,1014,2021,1,2,19,27.5,3416.3025
1/2/2021 20:00,527.5,3175.555,15.3,8.8,65.5,105,8.5,1014.8,2021,1,2,20,27.5,3199.630556
1/2/2021 21:00,539.5,2917.440833,14.8,8.8,67.5,115,7.6,1015.3,2021,1,2,21,27.5,2936.656389
1/2/2021 22:00,551.5,2627.704167,14.5,8,65,120,7.6,1015,2021,1,2,22,27.5,2658.800556
1/2/2021 23:00,563.5,2212.758333,13.8,8.55,70.5,130,7.6,1015.45,2021,1,2,23,27.5,2247.072222
1/3/2021 0:00,575.5,1824.291667,13.8,7.6,66.5,140,6.5,1014.95,2021,1,3,0,27.5,1847.227222
1/3/2021 1:00,587.5,1713.0575,14,6.1,59,125,6.5,1014,2021,1,3,1,27.5,1718.77
1/3/2021 2:00,599.5,1650.288333,13.5,7.75,69,100,7.6,1014.55,2021,1,3,2,27.5,1656.1775
1/3/2021 3:00,611.5,1612.696667,13.5,8.7,73,55,7.6,1014.55,2021,1,3,3,27.5,1612.803889
1/3/2021 4:00,623.5,1674.898333,13.5,8.05,69.5,45,7.6,1013.5,2021,1,3,4,27.5,1666.181111
1/3/2021 5:00,635.5,1925.820833,13,9.6,80,70,7.6,1013.75,2021,1,3,5,27.5,1894.289167
1/3/2021 6:00,647.5,2451.41,12.5,11.1,91,70,8.5,1014.75,2021,1,3,6,27.5,2399.960556
1/3/2021 7:00,659.5,3035.3675,12,11.55,97,75,10.3,1015.5,2021,1,3,7,27.5,2999.275
1/3/2021 8:00,671.5,3197.418333,12.4,12.15,98.5,95,10.3,1016.45,2021,1,3,8,27.5,3193.455833
1/3/2021 9:00,683.5,3308.626667,13.4,12.65,95.5,105,12.1,1016.45,2021,1,3,9,27.5,3292.808333
1/3/2021 10:00,695.5,3383.7375,14,13,94,90,13,1016.5,2021,1,3,10,27.5,3385.797778
1/3/2021 11:00,707.5,3292.181667,13.7,12.9,95,110,13,1016.9,2021,1,3,11,27.5,3302.2225
1/3/2021 12:00,719.5,3146.93,14.2,13.4,95,125,13.9,1015.4,2021,1,3,12,27.5,3161.296111
1/3/2021 13:00,731.5,2844.2575,15,14,94,105,13,1014,2021,1,3,13,27.5,2864.051111
1/3/2021 14:00,743.5,2846.625833,15.1,14.3,95,95,15.7,1014.35,2021,1,3,14,27.5,2848.090278
1/3/2021 15:00,755.5,2810.779167,15.6,14.8,95,85,17.5,1013.85,2021,1,3,15,27.5,2814.184444
1/3/2021 16:00,767.5,2817.016667,16.5,15,91,85,16.6,1013,2021,1,3,16,27.5,2812.251667
1/3/2021 17:00,779.5,2893.2225,16.6,15.3,92,80,14.8,1013.55,2021,1,3,17,27.5,2886.744167
1/3/2021 18:00,791.5,3049.2425,16.1,15.3,95,90,12.1,1014.05,2021,1,3,18,27.5,3032.351389
1/3/2021 19:00,803.5,3017.625,15.5,14.5,94,115,10.3,1014,2021,1,3,19,27.5,3035.033056
1/3/2021 20:00,815.5,2742.224167,15.1,14.45,96,60,4.7,1014.7,2021,1,3,20,27.5,2765.269444
1/3/2021 21:00,827.5,2455.320833,14.6,13.95,96,0,0,1015.2,2021,1,3,21,27.5,2476.109167
1/3/2021 22:00,839.5,2250.389167,14,13.5,97,0,0,1015,2021,1,3,22,27.5,2268.990556
1/3/2021 23:00,851.5,2026.1875,14,14,100,60,3.8,1015.05,2021,1,3,23,27.5,2045.458056
1/4/2021 0:00,863.5,2645.385,13.5,13.5,100,60,3.8,1014.55,2021,1,4,0,27.5,2590.457222
1/4/2021 1:00,875.5,2506.294167,13,13,100,0,0,1014,2021,1,4,1,27.5,2515.361944
1/4/2021 2:00,887.5,2419.9775,13.1,12.85,98.5,0,0,1014.8,2021,1,4,2,27.5,2427.57
1/4/2021 3:00,899.5,2342.403333,13.1,12.85,98.5,0,0,1015.3,2021,1,4,3,27.5,2347.068611
1/4/2021 4:00,911.5,2340.851667,13,13,100,0,0,1015,2021,1,4,4,27.5,2338.806389
1/4/2021 5:00,923.5,2465.134167,13,13,100,0,0,1015.85,2021,1,4,5,27.5,2447.625556
1/4/2021 6:00,935.5,2735.410833,13,13,100,0,0,1016.35,2021,1,4,6,27.5,2710.842778
1/4/2021 7:00,947.5,2950.226667,13.5,13,97,40,2.7,1017,2021,1,4,7,27.5,2941.33
1/4/2021 8:00,959.5,3013.868333,14.3,13.65,96,40,2.7,1018.65,2021,1,4,8,27.5,3007.169167
1/4/2021 9:00,971.5,3226.2625,14.8,14.15,96,35,3.8,1018.65,2021,1,4,9,27.5,3197.140556
1/4/2021 10:00,983.5,3444.691667,15.5,14,91,65,8.5,1018,2021,1,4,10,27.5,3436.735278
1/4/2021 11:00,995.5,3491.8275,16.9,15.25,90,65,8.5,1017.65,2021,1,4,11,27.5,3490.605556
1/4/2021 12:00,1007.5,3461.254167,18.4,15.8,85,35,3.8,1016.65,2021,1,4,12,27.5,3468.305
1/4/2021 13:00,1019.5,3217.555833,19.5,15.05,75.5,60,2.7,1015.5,2021,1,4,13,27.5,3229.931944
1/4/2021 14:00,1031.5,3319.101667,19.8,15.8,78,205,7.4,1015.25,2021,1,4,14,27.5,3313.644444
1/4/2021 15:00,1043.5,3350.294167,19.8,17.3,85.5,155,9.4,1014.75,2021,1,4,15,27.5,3349.045
1/4/2021 16:00,1055.5,3361.820833,20,18.5,91,110,7.4,1014.5,2021,1,4,16,27.5,3361.74
1/4/2021 17:00,1067.5,3375.661667,19.3,18.3,94,125,7.4,1014.9,2021,1,4,17,27.5,3375.540278
1/4/2021 18:00,1079.5,3369.420833,18.3,17.8,97,160,9.4,1015.4,2021,1,4,18,27.5,3362.052222
1/4/2021 19:00,1091.5,3406.605,17.5,17.5,100,300,13.9,1016.5,2021,1,4,19,27.5,3415.553333
1/4/2021 20:00,1103.5,3150.593333,16.9,16.6,98,325,17.5,1017.45,2021,1,4,20,27.5,3176.570278
1/4/2021 21:00,1115.5,2921.875833,16.9,16.1,95,330,15.7,1017.45,2021,1,4,21,27.5,2933.603333
1/4/2021 22:00,1127.5,2839.599167,17,16,94,330,12.1,1017,2021,1,4,22,27.5,2847.577778
1/4/2021 23:00,1139.5,2725.694167,16.5,16,97,320,9.4,1017.7,2021,1,4,23,27.5,2736.2575
1/5/2021 0:00,1151.5,3893.9225,16,16,100,320,8.5,1017.2,2021,1,5,0,27.5,3796.4775
1/5/2021 1:00,1163.5,3729.670833,16,16,100,195,7.6,1016,2021,1,5,1,27.5,3743.412778
1/5/2021 2:00,1175.5,3544.261667,15.8,15.5,98,90,7.6,1016.5,2021,1,5,2,27.5,3563.161111
1/5/2021 3:00,1187.5,3384.6675,15.8,15,95,100,7.6,1016.5,2021,1,5,3,27.5,3392.475556
1/5/2021 4:00,1199.5,3297.940833,16,15,94,75,10.3,1015,2021,1,5,4,27.5,3304.968333
1/5/2021 5:00,1211.5,3214.945,15.6,14.95,96,75,12.1,1014.95,2021,1,5,5,27.5,3224.331667
1/5/2021 6:00,1223.5,3111.45,15.1,14.45,96,80,11.2,1014.95,2021,1,5,6,27.5,3116.096667
1/5/2021 7:00,1235.5,3022.4975,15,14,94,75,13,1015.5,2021,1,5,7,27.5,3030.641944
1/5/2021 8:00,1247.5,2947.579167,15.3,14.3,94,185,13,1018.05,2021,1,5,8,27.5,2954.231944
1/5/2021 9:00,1259.5,2932.998333,15.8,15.3,97,170,10.3,1018.55,2021,1,5,9,27.5,2927.553333
1/5/2021 10:00,1271.5,3002.806667,16.5,16,97,65,9.4,1018,2021,1,5,10,27.5,3000.177222
