Hour,EventCategory,Estimated_Attendance
2020-01-02 15:00:00,Sports & Competition,0.9589041095890412
2020-01-02 11:00:00,Other,1.8882235528942115
2020-01-02 09:00:00,Other,7.552894211576846
2020-01-02 04:00:00,Sports & Competition,1.9178082191780823
2020-12-25 20:00:00,Other,6.046332046332046
2020-12-31 10:00:00,Other,3.790163934426229
2020-12-31 10:00:00,Religious Event,1.8950819672131145
2021-01-01 15:00:00,Religious Event,5.832669322709164
2021-01-01 13:00:00,Religious Event,11.541984732824428
2021-01-01 19:00:00,Religious Event,4.187028657616893
2021-01-01 00:00:00,Other,3.9649122807017534
2021-01-01 22:00:00,Other,1.9212175470008952
2021-01-01 23:00:00,Other,5.763652641002686
2021-01-01 19:00:00,Religious Event,3.654485049833888
2021-01-01 19:00:00,Other,9.13621262458472
2021-01-01 17:00:00,Other,4.670329670329671
2021-01-01 16:00:00,Other,2.7750000000000004
2021-01-01 19:00:00,Other,1.827242524916944
2021-01-01 22:00:00,Religious Event,6.064362336114421
2021-01-01 22:00:00,Religious Event,4.042908224076281
2021-01-01 22:00:00,Religious Event,2.0214541120381404
2021-01-01 21:00:00,Religious Event,4.042908224076281
2021-01-01 10:00:00,Religious Event,2.034482758620689
2021-01-01 20:00:00,Religious Event,1.0107270560190702
2021-01-01 22:00:00,Religious Event,5.053635280095351
2021-01-01 15:00:00,Religious Event,20.33980582524272
2021-01-01 08:00:00,Religious Event,9.230769230769232
2021-01-01 17:00:00,Religious Event,8.14732965009208
2021-01-01 17:00:00,Religious Event,4.07366482504604
2021-01-01 17:00:00,Religious Event,6.11049723756906
2021-01-01 10:00:00,Religious Event,2.842622950819672
2021-01-01 10:00:00,Religious Event,5.685245901639344
2021-01-01 19:00:00,Religious Event,9.13621262458472
2021-01-01 08:00:00,Religious Event,3.692307692307693
2021-01-01 10:00:00,Religious Event,0.9475409836065573
2021-01-01 19:00:00,Other,0.913621262458472
2021-01-01 17:00:00,Religious Event,10.1841620626151
2021-01-01 06:00:00,Religious Event,4.894736842105263
2021-01-01 20:00:00,Other,1.9278688524590164
2021-01-01 06:00:00,Other,7.711475409836066
2021-01-01 19:00:00,Religious Event,5.943485086342228
2021-01-01 10:00:00,Other,1.8950819672131145
2021-01-01 05:00:00,Other,7.394321766561514
2021-01-01 07:00:00,Religious Event,3.992949471210341
2021-01-01 12:00:00,Religious Event,3.804878048780488
2021-01-01 07:00:00,Religious Event,2.0248447204968945
2021-01-01 13:00:00,Religious Event,6.254545454545455
2021-01-01 19:00:00,Religious Event,3.019522776572668
2021-01-01 19:00:00,Religious Event,1.0065075921908893
2021-01-01 16:00:00,Religious Event,12.078091106290673
2021-01-01 17:00:00,Religious Event,1.9634015069967703
2021-01-01 16:00:00,Religious Event,2.0422764227642274
2021-01-01 20:00:00,Religious Event,6.0
2021-01-01 20:00:00,Religious Event,2.0
2021-01-01 19:00:00,Religious Event,1.9811616954474096
2021-01-01 07:00:00,Religious Event,9.982373678025851
2021-01-01 07:00:00,Cultural & Tourism Event,1.940630797773655
2021-01-01 03:00:00,Other,2.9894736842105267
2021-01-01 18:00:00,Other,4.067469879518073
2021-01-01 15:00:00,Religious Event,10.021929824561404
2021-01-01 14:00:00,Other,10.0354609929078
2021-01-01 02:00:00,Other,15.694842015114864
2021-01-01 14:00:00,Other,3.923710503778716
2021-01-01 15:00:00,Religious Event,1.9839195979899495
2021-01-01 14:00:00,Public Gathering,1.964071856287425
2021-01-01 10:00:00,Sports & Competition,15.694842015114864
2021-01-01 13:00:00,Religious Event,7.694656488549619
2021-01-01 10:00:00,Other,3.92814371257485
2021-01-01 10:00:00,Other,19.236641221374047
2021-01-01 15:00:00,Cultural & Tourism Event,0.9821428571428572
2021-01-01 15:00:00,Other,0.9821428571428572
2021-01-01 15:00:00,Cultural & Tourism Event,0.9865470852017936
2021-01-01 15:00:00,Other,9.745454545454546
2021-01-01 07:00:00,Other,10.0
2021-01-01 12:00:00,Other,9.641255605381165
2021-01-01 00:00:00,Other,0.9912280701754386
2021-01-01 07:00:00,Other,6.0
2021-01-01 21:00:00,Other,4.0
2021-01-01 07:00:00,Other,8.297872340425531
2021-01-01 22:00:00,Other,6.724261414503133
2021-01-01 22:00:00,Other,2.881826320501343
2021-01-01 15:00:00,Other,4.803043867502238
2021-01-01 15:00:00,Religious Event,3.928571428571429
2021-01-01 15:00:00,Religious Event,5.892857142857143
2021-01-01 15:00:00,Other,1.9642857142857144
2021-01-01 15:00:00,Other,2.946428571428572
2021-01-01 15:00:00,Other,4.910714285714287
2021-01-01 04:00:00,Other,5.753424657534247
2021-01-01 13:00:00,Sports & Competition,7.671232876712329
2021-01-01 13:00:00,Other,1.9178082191780823
2021-01-01 18:00:00,Other,1.8882235528942115
2021-01-01 11:00:00,Other,3.776447105788423
2021-01-01 08:00:00,Other,1.8882235528942115
2021-01-01 13:00:00,Cultural & Tourism Event,2.8323353293413174
2021-01-01 16:00:00,Other,5.802197802197802
2021-01-01 09:00:00,Sports & Competition,4.894736842105263
2021-01-01 17:00:00,Sports & Competition,4.847908745247149
2021-01-01 19:00:00,Other,3.654485049833888
2021-01-01 19:00:00,Religious Event,5.481727574750831
2021-01-01 19:00:00,Other,5.481727574750831
2021-01-01 10:00:00,Other,5.685245901639344
2021-01-01 14:00:00,Other,2.8685474189675872
2021-01-01 03:00:00,Other,1.9123649459783916
2021-01-01 10:00:00,Other,3.790163934426229
2021-01-01 16:00:00,Other,1.934065934065934
2021-01-01 14:00:00,Sports & Competition,3.7
2021-01-01 19:00:00,Cultural & Tourism Event,9.13621262458472
2021-01-01 17:00:00,Other,6.538461538461538
2021-01-01 10:00:00,Other,3.0228233305156382
2021-01-01 23:00:00,Other,7.684870188003581
2021-01-01 06:00:00,Other,4.820627802690582
2021-01-01 09:00:00,Other,9.81456953642384
2021-01-01 07:00:00,Other,9.703153988868277
,Other,10.0
2021-01-01 06:00:00,Other,9.639344262295085
