GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Name,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,DATEADDED,SOURCEURL
0,,,,,,,,3,"Beverly Hills, Virginia, United States",US,USVA,,37.0776,-76.515,1495266,20250307093000,https://www.dailymail.co.uk/tvshowbiz/article-14471825/Billionaire-beauty-mogul-Selena-Gomez-lets-fianc-Benny-Blanco-makeup.html
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
1,Russia,RS,RS,,60.0,100.0,RS,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
1,Canada,CA,CA,,60.0,-96.0,CA,1,Canada,CA,CA,,60.0,-96.0,CA,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
1,Ukraine,UP,UP,,49.0,32.0,UP,1,Ukraine,UP,UP,,49.0,32.0,UP,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
1,Ukraine,UP,UP,,49.0,32.0,UP,1,Ukraine,UP,UP,,49.0,32.0,UP,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-ties-made-positive-strides-after-pm-narendra-modi-xi-jinping-meet-chinese-minister-wang-yi-7869029
1,Russia,RS,RS,,60.0,100.0,RS,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20250307093000,https://www.ndtv.com/world-news/india-china-ties-made-positive-strides-after-pm-narendra-modi-xi-jinping-meet-chinese-minister-wang-yi-7869029
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-ties-made-positive-strides-after-pm-narendra-modi-xi-jinping-meet-chinese-minister-wang-yi-7869029
1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20250307093000,https://www.ndtv.com/world-news/india-china-ties-made-positive-strides-after-pm-narendra-modi-xi-jinping-meet-chinese-minister-wang-yi-7869029
0,,,,,,,,1,South Korea,KS,KS,,37.0,127.5,KS,20250307093000,https://www.yahoo.com/news/south-korea-reverses-plan-boost-065635161.html
4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20250307093000,https://www.ndtv.com/world-news/india-china-news-us-donald-trump-tariff-war-lets-make-elephant-dragon-dance-chinese-minister-amid-us-tariff-war-7868965
