GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
0,,,,,,,,4,"Fort William, Highland, United Kingdom",UK,UKV3,40172,56.8167,-5.11667,-2596447,4,"Fort William, Highland, United Kingdom",UK,UKV3,40172,56.8167,-5.11667,-2596447,20250307094500,https://www.mbr.co.uk/news/8-of-the-hottest-mountain-bike-products-for-2025-447476
1,South Korea,KS,KS,,37.0,127.5,KS,1,South Korea,KS,KS,,37.0,127.5,KS,1,South Korea,KS,KS,,37.0,127.5,KS,20250307094500,https://www.koreaherald.com:443/article/10436543
1,South Korea,KS,KS,,37.0,127.5,KS,1,South Korea,KS,KS,,37.0,127.5,KS,1,South Korea,KS,KS,,37.0,127.5,KS,20250307094500,https://www.koreaherald.com:443/article/10436543
4,"Johannesburg, Gauteng, South Africa",SF,SF06,77364,-26.2,28.0833,-1240261,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307094500,https://zeenews.india.com/world/every-reason-to-support-each-other-china-moots-stronger-ties-with-india-takes-veiled-dig-at-us-2868805.html
4,"Johannesburg, Gauteng, South Africa",SF,SF06,77364,-26.2,28.0833,-1240261,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,4,"Ajit, Rajasthan, India",IN,IN24,17837,25.85,72.6833,-2088338,20250307094500,https://zeenews.india.com/world/every-reason-to-support-each-other-china-moots-stronger-ties-with-india-takes-veiled-dig-at-us-2868805.html
0,,,,,,,,0,,,,,,,,0,,,,,,,,20250307094500,https://indianexpress.com/article/cities/bangalore/karnataka-budget-inclusion-of-muslims-in-reservation-for-govt-tenders-below-rs-2-crore-triggers-row-bjp-alleges-appeasement-9873911/
1,South Korea,KS,KS,,37.0,127.5,KS,0,,,,,,,,1,South Korea,KS,KS,,37.0,127.5,KS,20250307094500,https://www.koreaherald.com:443/article/10436543
4,"Fort William, Highland, United Kingdom",UK,UKV3,40172,56.8167,-5.11667,-2596447,0,,,,,,,,4,"Fort William, Highland, United Kingdom",UK,UKV3,40172,56.8167,-5.11667,-2596447,20250307094500,https://www.mbr.co.uk/news/8-of-the-hottest-mountain-bike-products-for-2025-447476
4,"Fort William, Highland, United Kingdom",UK,UKV3,40172,56.8167,-5.11667,-2596447,0,,,,,,,,4,"Fort William, Highland, United Kingdom",UK,UKV3,40172,56.8167,-5.11667,-2596447,20250307094500,https://www.mbr.co.uk/news/8-of-the-hottest-mountain-bike-products-for-2025-447476
0,,,,,,,,0,,,,,,,,0,,,,,,,,20250307094500,https://indianexpress.com/article/cities/bangalore/karnataka-budget-inclusion-of-muslims-in-reservation-for-govt-tenders-below-rs-2-crore-triggers-row-bjp-alleges-appeasement-9873911/
