DATE,FractionDate,Actor1CountryCode,Actor2CountryCode,IsRootEvent,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,AvgTone,Actor1Geo_CountryCode,Actor1Geo_Lat,Actor1Geo_Long,Actor2Geo_CountryCode,Actor2Geo_Lat,Actor2Geo_Long,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,Protests_Count,Demonstrations_Count,Political_Events_Count,Conflicts_Count,Gatherings_Count
2021-01-01,2021.0027,0,0,1,020,020,02,3.0,-4.36893203883495,IN,28.6667,77.2167,0,,,IN,28.6667,77.2167,0,0,0,0,0
2021-01-02,2021.0055,CAN,CAN,2,140140,140140,1414,-6.5,-0.57142857142858,CA,49.25,-123.133,CACA,49.25,-123.133,ININ,28.6,77.2,2,0,0,0,0
2021-01-03,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,0,0,0,0
2021-01-04,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,0,0,0,0
2021-01-05,2021.0137000000002,KWT,KWT,1,042130013060043010,042130013060043010,041301060401,1.1166666666666665,-1.8286700632941653,INININKUIN,28.80668,71.31667999999999,KUIN,29.08335,62.48335,ININININININ,28.64446666666667,77.21113333333334,0,0,2,0,0
2021-01-06,2021.0163999999997,IND,0,3,090090051,090090051,090905,-0.20000000000000004,4.744771098434987,INININ,28.64446666666667,77.21113333333334,ININ,28.6667,77.2167,INININ,28.64446666666667,77.21113333333334,0,0,1,0,0
2021-01-07,2021.0192,JPNUSA,0,0,040051051054,040051051054,04050505,3.45,4.07195421095667,INUSUSIN,29.215,-9.073299999999996,INUS,29.215,-9.073299999999996,ININININ,28.6667,77.2167,0,0,4,0,0
2021-01-08,2021.0219,IND,IND,0,042042043043,042042043043,04040404,2.3499999999999996,-0.68285280728376,INININ,28.666700000000002,77.2167,INININ,28.666700000000002,77.2167,ININININ,28.6667,77.2167,0,0,4,0,0
2021-01-09,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,0,0,0,0
2021-01-10,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,0,0,0,0
2021-01-11,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,0,0,0,0
2021-01-12,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,0,0,0,0
2021-01-13,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,0,0,0,0
2021-01-14,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,0,0,0,0
2021-01-15,2021.0410999999997,CHN,0,0,0400332017,040033017,040301,2.066666666666667,-3.4800473583057037,INCH,32.09,77.5199,IN,28.6667,77.2167,INININ,28.666700000000002,77.2167,0,0,2,0,0
2021-01-16,2021.0438000000001,IND,INDIND,6,043042141042141043,043042141042141043,040414041404,-0.6000000000000001,0.36101083032491,INININININ,28.6667,77.2167,ININININ,28.6667,77.2167,ININININININ,28.666700000000002,77.2167,2,0,4,0,0
2021-01-17,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,0,0,0,0
2021-01-18,,0,0,0,0,0,0,,,0,,,0,,,0,,,0,0,0,0,0
2021-01-19,2021.0521,USA,USA,0,042043042043,042043042043,04040404,2.3499999999999996,2.62529832935561,ININUK,36.233333333333334,51.427777666666664,UKININ,36.233333333333334,51.427777666666664,ININININ,28.6,77.2,0,0,4,0,0
2021-01-20,2021.0548,0,0,1,0874042,087042,0804,5.95,-1.946304113991225,INCH,31.83335,91.10835,0,,,ININ,28.6667,77.2167,0,0,1,0,0
2021-01-21,2021.0575,0,0,1,071,071,07,7.4,0.505050505050511,IN,28.6667,77.2167,0,,,IN,28.6667,77.2167,0,0,0,0,0
2021-01-22,2021.0602999999999,IND,INDIND,6,012052030042043160012,012052030042043160012,01050304041601,1.0571428571428572,0.47034345689339857,INININININ,28.64002,77.21002000000001,INININININ,28.62668,77.20668,INININININININ,28.628585714285716,77.20715714285714,0,0,4,0,1
2021-01-23,2021.063,THA,IND,0,173,173,17,-5.0,-3.24645633287608,TH,13.75,100.517,IN,28.6667,77.2167,IN,28.6667,77.2167,0,0,0,1,0
